FA_name,FA_mass_kg,FA_length_ft,FA_year_made,FA_year_intro,reactor_power_MWe,reactor_type_code,fuel_type,plant_code,plant_name,region,burnup_GWd_tU,epoch_label,plant_start_date_info
FA5506,889.5,14,2004,2005,1300,DPY,UO2,PEN,Penly,Normandy,36.6,VD2,1990
FV9935,744.1,12,1985,1989,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,15.4,VD1,1984
FA2535,861.3,14,2005,2006,1300,DPY,UO2,GOL,Golfech,Occitanie,33.5,VD2,1993
FR4257,882.1,14,2018,2021,1300,DPY,UO2,NOG,Nogent,Île-de-France,30.2,VD4,1987
FS5557,724.7,12,1979,1980,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,12.7,VD1,1980
FK5552,917.7,14,1994,1995,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,38.1,VD1,1986
FD2519,736.4,12,2003,2005,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,13.9,VD3,1981
FT5333,735.0,12,1977,1982,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,12.9,VD1,1980
FM2291,749.7,12,2010,2015,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,14.4,VD4,1980
FS4150,881.1,14,1988,1988,1300,DPY,UO2,PAL,Paluel,Normandy,28.7,VD1,1984
FY5741,896.5,14,1994,1995,1300,DPY,UO2,PEN,Penly,Normandy,36.6,VD1,1990
FM5554,713.0,12,2008,2009,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,10.3,VD3,1980
FG5374,885.0,14,2021,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,30.8,VD1,2025
FR5010,855.3,14,1997,2000,1300,DPY,UO2,PEN,Penly,Normandy,34.4,VD2,1990
FU4598,850.5,14,2013,2013,1300,DPY,UO2,GOL,Golfech,Occitanie,31.5,VD3,1993
FZ6168,738.0,12,2005,2005,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,13.4,VD3,1980
FG9179,770.3,12,2004,2005,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,21.0,VD3,1980
FH9830,759.0,12,1988,1993,900,CPY,UO2,FES,Fessenheim,Grand Est,15.6,VD2,1977
FS7543,874.0,14,2006,2007,1300,DPY,UO2,PAL,Paluel,Normandy,36.4,VD3,1984
FC1771,752.2,12,1990,1991,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,14.8,VD1,1984
FZ7916,868.6,14,1991,1994,1300,DPY,UO2,PEN,Penly,Normandy,34.9,VD1,1990
FQ5119,851.4,14,1988,1993,1300,DPY,UO2,GOL,Golfech,Occitanie,30.3,VD1,1993
FV9797,859.5,14,1998,2003,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,33.9,VD2,1986
FJ8123,854.5,14,1993,1996,1300,DPY,UO2,FLA,Flamanville,Normandy,30.4,VD2,1986
FQ3927,757.4,12,2010,2015,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,17.5,VD4,1983
FE7126,714.6,12,2021,2025,900,CPY,UO2,FES,Fessenheim,Grand Est,11.4,VD5,1977
FT6310,746.0,12,2012,2012,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,18.2,VD4,1981
FH1949,882.5,14,2021,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,32.7,VD1,2025
FX8962,876.8,14,2024,2024,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,41.3,VD3,1998
FE8787,749.1,12,2014,2016,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,14.4,VD4,1981
FG9835,898.1,14,1994,1999,1300,DPY,UO2,NOG,Nogent,Île-de-France,35.9,VD2,1987
FV7118,764.7,12,2005,2005,900,CPY,MOX,FES,Fessenheim,Grand Est,21.0,VD3,1977
FC6539,752.5,12,1977,1981,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,13.4,VD1,1980
FS4608,844.0,14,1987,1987,1300,DPY,UO2,NOG,Nogent,Île-de-France,30.5,VD1,1987
