FA_name,FA_mass,FA_length_ft,FA_manufacturing_year,FA_introduction_year,reactor_power,reactor_type,fuel_type,reactor_site,reactor_location,FA_BUp,reactor_epoch
FA5506,889.5,14,1984,1985,1300,DPY,UO2,PEN,Normandy,72.0,VD5
FV9935,744.1,12,1971,1975,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD6
FA2535,861.3,14,1982,1983,1300,DPY,UO2,GOL,Occitanie,72.0,VD5
FR4257,882.1,14,2010,2015,1300,DPY,UO2,NOG,Île-de-France,72.0,VD2
FH8359,845.5,14,2005,2007,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,67.4,VD2
FY3615,786.6,12,2012,2014,900,CPY,MOX,STL,Centre-Val de Loire,21.4,VD2
FG6514,736.4,12,1976,1976,900,CPY,UO2,FES,Grand Est,0.0,VD5
FL6635,857.5,14,2006,2008,1300,DPY,UO2,GOL,Occitanie,72.0,VD2
FX8527,749.7,12,2001,2004,900,CPY,UO2,STL,Centre-Val de Loire,0.0,VD3
FU6925,881.1,14,2005,2006,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD2
FB4733,896.5,14,2017,2019,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FD7227,831.9,14,1984,1987,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,58.9,VD4
FF7065,885.0,14,1991,1992,1300,DPY,UO2,PEN,Normandy,72.0,VD4
FW2169,855.3,14,2003,2008,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FF8573,729.0,12,1992,1994,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD4
FV6313,861.0,14,2023,2023,1300,DPY,UO2,PEN,Normandy,72.0,VD1
FZ6168,770.3,12,1995,1995,900,CPY,MOX,DAM,Centre-Val de Loire,15.6,VD4
FG9179,759.0,12,1994,1995,900,CPY,MOX,DAM,Centre-Val de Loire,4.3,VD4
FH9830,749.1,12,1981,1986,900,CPY,UO2,FES,Grand Est,2.5,VD4
FS7543,877.5,14,1992,1993,1300,DPY,UO2,PAL,Normandy,72.0,VD4
FC1771,744.5,12,2024,2025,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD1
FZ7916,851.4,14,2008,2008,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FT8668,859.5,14,2001,2003,1300,DPY,UO2,GOL,Occitanie,72.0,VD3
FV2876,854.5,14,2009,2013,1300,DPY,UO2,NOG,Île-de-France,72.0,VD2
FY6573,757.4,12,1975,1977,900,CPY,UO2,STL,Centre-Val de Loire,5.3,VD5
FO1053,833.7,14,2011,2016,1300,DPY,UO2,GOL,Occitanie,57.3,VD1
FQ2743,746.0,12,2020,2025,900,CPY,MOX,FES,Grand Est,0.0,VD1
FE7126,882.5,14,2017,2018,1300,DPY,UO2,NOG,Île-de-France,72.0,VD1
FT6310,876.8,14,2001,2001,1300,DPY,UO2,NOG,Île-de-France,72.0,VD3
FZ6038,874.0,14,1985,1985,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FC8962,769.8,12,2018,2022,900,CPY,UO2,DAM,Centre-Val de Loire,10.4,VD1
FE8787,764.7,12,2003,2005,900,CPY,UO2,STL,Centre-Val de Loire,12.9,VD3
FG9835,877.9,14,2013,2018,1300,DPY,UO2,NOG,Île-de-France,72.0,VD1
FW6107,844.0,14,1990,1995,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,70.3,VD4
FO9479,852.2,14,1998,1998,1300,DPY,UO2,PEN,Normandy,72.0,VD3
